,Country,Population,Net migration,GDP ($ per capita),Literacy (%),Phones (per 1000),Infant mortality (per 1000 births)
0,Afghanistan ,31056997,23.06,700.0,36.0,3.2,163.07
1,Albania ,3581655,-4.93,4500.0,86.5,71.2,21.52
2,Algeria ,32930091,-0.39,6000.0,70.0,78.1,31
3,American Samoa ,57794,-20.71,8000.0,97.0,259.5,9.27
4,Andorra ,71201,6.6,19000.0,100.0,497.2,4.05
5,Angola ,12127071,0,1900.0,42.0,7.8,191.19
6,Anguilla ,13477,10.76,8600.0,95.0,460.0,21.03
7,Antigua & Barbuda ,69108,-6.15,11000.0,89.0,549.9,19.46
8,Argentina ,39921833,0.61,11200.0,97.1,220.4,15.18
9,Armenia ,2976372,-6.47,3500.0,98.6,195.7,23.28
10,Aruba ,71891,0,28000.0,97.0,516.1,5.89
11,Australia ,20264082,3.98,29000.0,100.0,565.5,4.69
12,Austria ,8192880,2,30000.0,98.0,452.2,4.66
13,Azerbaijan ,7961619,-4.9,3400.0,97.0,137.1,81.74
14,Bahamas. The ,303770,-2.2,16700.0,95.6,460.6,25.21
15,Bahrain ,698585,1.05,16900.0,89.1,281.3,17.27
16,Bangladesh ,147365352,-0.71,1900.0,43.1,7.3,62.6
17,Barbados ,279912,-0.31,15700.0,97.4,481.9,12.5
18,Belarus ,10293011,2.54,6100.0,99.6,319.1,13.37
19,Belgium ,10379067,1.23,29100.0,98.0,462.6,4.68
20,Belize ,287730,0,4900.0,94.1,115.7,25.69
21,Benin ,7862944,0,1100.0,40.9,9.7,85
22,Bermuda ,65773,2.49,36000.0,98.0,851.4,8.53
23,Bhutan ,2279723,0,1300.0,42.2,14.3,100.44
24,Bolivia ,8989046,-1.32,2400.0,87.2,71.9,53.11
25,Botswana ,1639833,0,9000.0,79.8,80.5,54.58
26,Brazil ,188078227,-0.03,7600.0,86.4,225.3,29.61
27,British Virgin Is. ,23098,10.01,16000.0,97.8,506.5,18.05
28,Brunei ,379444,3.59,18600.0,93.9,237.2,12.61
29,Bulgaria ,7385367,-4.58,7600.0,98.6,336.3,20.55
30,Burkina Faso ,13902972,0,1100.0,26.6,7.0,97.57
31,Burma ,47382633,-1.8,1800.0,85.3,10.1,67.24
32,Burundi ,8090068,-0.06,600.0,51.6,3.4,69.29
33,Cambodia ,13881427,0,1900.0,69.4,2.6,71.48
34,Cameroon ,17340702,0,1800.0,79.0,5.7,68.26
35,Canada ,33098932,5.96,29800.0,97.0,552.2,4.75
36,Cape Verde ,420979,-12.07,1400.0,76.6,169.6,47.77
37,Cayman Islands ,45436,18.75,35000.0,98.0,836.3,8.19
38,Central African Rep. ,4303356,0,1100.0,51.0,2.3,91
39,Chad ,9944201,-0.11,1200.0,47.5,1.3,93.82
40,Chile ,16134219,0,9900.0,96.2,213.0,8.8
41,China ,1313973713,-0.4,5000.0,90.9,266.7,24.18
42,Colombia ,43593035,-0.31,6300.0,92.5,176.2,20.97
